Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Sample_type,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N0864G1,N0864G,1/6/1986,55.89057782,-3.168749052,Grass,85,,,,,,,,,,,,,,,,,,,,,868.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0883G1,N0883G,1/6/1986,56.00077782,-2.883448722,Grass,137,,,,,,,,,,,,,,,,,,,,,384.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N1212G1,N1212G,1/6/1986,54.41162236,-2.664037998,Grass,27,,,,,,,,,,,,,,,,,,,,,1432.4,,,,,,,,,,,,,,,,,,
United_Kingdom,N3002G1,N3002G,1/6/1986,53.02567529,-3.730993454,Grass,71,,,,,,,,,,,,,,,,,,,,,3167.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N3003G1,N3003G,1/6/1986,53.24680334,-3.964731373,Grass,140,,,,,,,,,,,,,,,,,,,,,775.8,,,,,,,,,,,,,,,,,,
United_Kingdom,N0359G1,N0359G,1/6/1986,52.25417321,-1.31290306,Grass,54,,,,,,,,,,,,,,,,,,,,,174.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0307G1,N0307G,1/6/1986,51.99106035,-0.22463169,Grass,154,,,,,,,,,,,,,,,,,,,,,227.7,,,,,,,,,,,,,,,,,,
United_Kingdom,N0030G1,N0030G,1/6/1986,50.58295588,-4.925382188,Grass,165,,,,,,,,,,,,,,,,,,,,,30.5,,,,,,,,,,,,,,,,,,
United_Kingdom,N0301G1,N0301G,1/6/1986,51.98554065,-1.535443665,Grass,90,,,,,,,,,,,,,,,,,,,,,211.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N0367G1,N0367G,1/6/1986,52.23087315,0.443902346,Grass,146,,,,,,,,,,,,,,,,,,,,,150.9,,,,,,,,,,,,,,,,,,
