Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Latitude(radians),Longitude(radians),x,y,z,Sample_type,Classification,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N095761,N09576,15/10/1986,56.71487321,-4.534062599,0.989861272,-0.079134321,3485.499907,-276.3998698,5325.836508,Red grouse,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195.3,827.3,151.8,158.7,A,O,M,,,
United_Kingdom,N070861,N07086,15/10/1986,54.69055009,-2.378487509,0.954530169,-0.041512438,3679.216015,-152.8210223,5199.005313,Red grouse,Wildlife,129,,,,,,,,,,,,,,,,,,,,,,,,,103.8,10.1,0,27.8,12.9,394.4,38.1,113.2,160,A,O,F,223.6,21.8,0
United_Kingdom,N070863,N07086,15/10/1986,54.69055009,-2.378487509,0.954530169,-0.041512438,3679.216015,-152.8210223,5199.005313,Red grouse,Wildlife,37,,,,,,,,,,,,,,,,,,,,,,,,,378.4,35.6,0,9.6,3.7,660.5,60.1,139.2,152.5,A,O,M,979.9,92.3,0
United_Kingdom,N112061,N11206,15/10/1986,57.88029238,-4.877017289,1.010201674,-0.085120009,3375.132381,-287.987165,5395.848942,Red grouse,Wildlife,226,,,,,,,,,,,,,,,,,,,,,,,,,1130.4,436.4,73.5,54.9,22.6,1932,633.7,109.7,144.9,A,O,M,2746.9,1060.4,178.5
United_Kingdom,N112063,N11206,15/10/1986,57.88029238,-4.877017289,1.010201674,-0.085120009,3375.132381,-287.987165,5395.848942,Red grouse,Wildlife,162,,,,,,,,,,,,,,,,,,,,,,,,,1315,510.5,101.6,39.9,16.2,1640.1,561.3,141.5,155.1,A,O,F,3235,1255.8,249.9
United_Kingdom,N102761,N10276,15/10/1986,57.26835484,-4.912043313,0.999521349,-0.085731329,3432.179884,-294.9683553,5359.363387,Red grouse,Wildlife,177,,,,,,,,,,,,,,,,,,,,,,,,,615.2,154.5,0,47.2,17.7,631.1,115.6,118.9,155.8,A,O,M,1642.5,412.6,0
United_Kingdom,N097251,N09725,15/10/1986,56.85432072,-4.614023263,0.992295091,-0.080529898,3472.180356,-280.2203399,5334.33043,Black grouse,Wildlife,245,,,,,,,,,,,,,,,,,,,,,,,,,82.8,0,149.7,66.8,24.5,192.7,0,95.7,155.4,A,W,M,226.1,0,408.8
United_Kingdom,N097253,N09725,15/10/1986,56.85432072,-4.614023263,0.992295091,-0.080529898,3472.180356,-280.2203399,5334.33043,Black grouse,Wildlife,195,,,,,,,,,,,,,,,,,,,,,,,,,250.8,0,143.8,52.1,19.5,270.7,0,98.6,147.8,A,W,M,669.7,0,384
United_Kingdom,N097255,N09725,15/10/1986,56.85432072,-4.614023263,0.992295091,-0.080529898,3472.180356,-280.2203399,5334.33043,Black grouse,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,0,125.1,148.5,A,W,M,,,
United_Kingdom,N097257,N09725,15/10/1986,56.85432072,-4.614023263,0.992295091,-0.080529898,3472.180356,-280.2203399,5334.33043,Black grouse,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.8,0,70.8,154.3,A,W,M,,,
